team,unit,dossier,formula_note,final,conf,reason
UConn,QB,46,"~40-42 after IND-dest fix; v1-mech 89pct was strawman (dossier L already shrank tiny samples)",44,L,"Merklinger 81.6/28 + Osborne 72.9/82 both shrink to ~71; battle + Candle-system familiarity holds it near dossier; -2"
UConn,RB,48,"pro forma 2nd pctile = IND dest-offset artifact (-14.11 RB cell, Army-polluted); ex-artifact ~mid-40s",48,M,"Cornist 76.0/105 w=0.49 -> ~74.7 proj; hold"
UConn,WRTE,46,"formula ~position mean (small samples + FCS)",46,L,"hold; unchanged scope (FCS pieces stay v1 brackets)"
UConn,OL,48,"pro forma 1st pctile = IND artifact (-21.97 cell); ex-artifact ~mean",48,M,"Chan 67.3/477 + cohesive Toledo transplant; hold"
UConn,DL,46,"v2 50th pctile",47,M,"Mickens (OSU) + Carter; formula mildly up; +1"
UConn,LB,50,"v2 36th pctile; k=630 shrinks Sherman's Toledo volume hard",47,M,"dossier leaned Athlon 'strength' narrative; split formula/dossier; -3"
UConn,DB,44,"v2 53rd; McLean 74.7/638 real tape, w=0.35 -> ~69 proj",47,L,"formula up vs dossier; +3"
UConn,ST,44,"specialists out of v2 scope",44,L,"hold"
Tulsa,QB,45,"dg-25: formula skeptical of thin QB tape",40,L,"split toward formula; O5.5 bet negative signal"
Tulsa,RB,50,"dg+16",55,M,"formula credits real volume; split +5"
Oregon State,QB,34,"dg-10",31,L,"split; dossier already flagged optimism"
Oregon State,DB,42,"dg-11",38,M,"split; 'studs leaned high' flag corroborated"
Bowling Green,QB,34,"dg-10: Novosad year-3 pedigree = validated null",31,L,"S2b evidence-backed; O4.5 negative signal"
Bowling Green,LB,30,"dg-12",26,L,"split toward formula"
Bowling Green,DL,34,"dg-9",31,M,"split"
Liberty,WRTE,42,"dg-11",38,L,"split; U8.5 helped"
Liberty,LB,44,"dg-11: Farrar 60.0/610 shrinks",40,M,"split"
Liberty,OL,48,"dg+9",51,M,"split up"
Arizona State,QB,48,"dg-17: Boley unproven + open battle",42,L,"formula + podium open-race; U6.5 helped"
Arizona State,WRTE,56,"dg-9",52,M,"split"
