date,category,team,side,line,odds,book,stake_u,our_p,pct_edge,model_ev,result,pnl_u,note
2026-07-20,regular,UConn,over,5.5,-105,DK,0.57,0.685,+20.6%,+0.338,pending,+0.000,
2026-07-20,regular,Tulsa,over,5.5,+100,CZR,0.55,0.662,+18.8%,+0.325,pending,+0.000,
2026-07-20,regular,Oregon State,over,3.5,-150,Bet365,0.65,0.748,+17.9%,+0.246,pending,+0.000,
2026-07-20,regular,Bowling Green,over,4.5,-160,Bet365,0.7,0.759,+16.9%,+0.233,pending,+0.000,
2026-07-20,regular,Liberty,under,8.5,-145,Bet365,0.6,0.711,+16.8%,+0.201,pending,+0.000,took -145
2026-07-20,regular,Arizona State,under,6.5,+100,CZR,0.55,0.603,+12.0%,+0.206,pending,+0.000,took +100; juiced out at BetRivers
2026-07-20,regular,Kennesaw State,over,6.5,+120,Bet365,0.55,0.553,+9.2%,+0.217,pending,+0.000,
2026-07-20,regular,Illinois,under,7.5,-160,CZR,0.65,0.690,+10.4%,+0.121,pending,+0.000,took -160
2026-07-20,regular,West Virginia,under,5.5,+132,FD,0.5,0.488,+7.0%,+0.132,pending,+0.000,FD +132
2026-07-20,regular,East Carolina,over,7.5,+100,CZR,0.55,0.583,+10.3%,+0.167,pending,+0.000,
2026-07-20,regular,Hawai'i,under,7.5,-120,CZR,0.6,0.649,+10.6%,+0.190,pending,+0.000,took -120 at CZR
2026-07-20,conference,Florida,under,4.5,-110,,0.5,0.582,+7.9%,+0.111,pending,+0.000,
2026-07-20,conference,UCF,over,3.5,-115,DK,0.55,0.598,+9.0%,+0.119,pending,+0.000,"DK -115; v2 re-price 2026-07-23: mm edge +1.5% (below the 4% double-check bar) — hold ticket, no add"
2026-07-20,conference,Pittsburgh,under,5.5,-136,DK,0.65,0.650,+9.0%,+0.129,pending,+0.000,DK -136
